dataset,condition_id,block_size,num_blocks,algorithm,runs,mean_rre,std_rre,mean_runtime_seconds,std_runtime_seconds,mean_accuracy,std_accuracy,mean_nmi,std_nmi
ORL,baseline,0,0,standard_nmf,5,0.1358651002316212,0.0004540819040041349,16.76388842499582,9.818408419107511,0.7277777777777779,0.029331544558253986,0.8595764776120923,0.019583269754867724
ORL,baseline,0,0,robust_l1_nmf,5,0.24382934593766475,0.0018761361896466597,20.55944729159819,3.0012541511903867,0.48888888888888893,0.01832070271982353,0.6992683190416182,0.0051171281523454855
ORL,b10_k1,10,1,standard_nmf,5,0.3842700422346119,0.004031095790416149,17.595527675002813,14.844320122412507,0.24222222222222226,0.013234588055079554,0.4117574022859395,0.006170318725866602
ORL,b10_k1,10,1,robust_l1_nmf,5,0.25577578464632594,0.002485388040560897,26.88689565018285,18.3684289388901,0.4155555555555555,0.020374578689880286,0.6157853382763636,0.020441072386535142
ORL,b10_k2,10,2,standard_nmf,5,0.5236978935734674,0.003165594810134853,10.38784597478807,4.943561587387575,0.2127777777777778,0.015786969153758688,0.3877340014601676,0.020891998012273264
ORL,b10_k2,10,2,robust_l1_nmf,5,0.29052579287952984,0.0065966949134856016,20.211245950008742,5.360413337538973,0.31333333333333335,0.02026064725423385,0.5075415832712866,0.02554607809755703
ORL,b10_k3,10,3,standard_nmf,5,0.638301860232958,0.0022276752986900316,15.937531833408865,16.655893824335863,0.2011111111111111,0.015786969153758684,0.36571406459583533,0.024500589164059294
ORL,b10_k3,10,3,robust_l1_nmf,5,0.46942987607569747,0.02493026061771094,30.45330564979231,23.910438975014205,0.20722222222222225,0.00750514227005905,0.37850164462022134,0.013963758754922735
ORL,b15_k1,15,1,standard_nmf,5,0.5550472686140517,0.0025575483633747593,11.075886508391704,2.9648281457172767,0.24055555555555558,0.008914892519934004,0.41995464080521006,0.015595689222817613
ORL,b15_k1,15,1,robust_l1_nmf,5,0.5656858173430998,0.009902320793552445,19.298771033401135,4.909392080446187,0.2783333333333333,0.027315599486532262,0.47345702856110294,0.030528718624776775
ORL,b20_k1,20,1,standard_nmf,5,0.5966825551729199,0.0017808268328465369,10.088458058203106,3.6947542027438103,0.205,0.0041201102706086975,0.3736694456049662,0.004844995674105444
ORL,b20_k1,20,1,robust_l1_nmf,5,0.6229766120822781,0.0015734487382368192,21.25969526661793,6.47531101228708,0.18722222222222223,0.0037267799624996593,0.34234746344825073,0.0079958694621709
YaleB,baseline,0,0,standard_nmf,5,0.19347706324569552,0.0008177832692477278,92.00297429179773,28.14937809748052,0.2237459733087897,0.01416692888986504,0.3031236430538883,0.008821540991448194
YaleB,baseline,0,0,robust_l1_nmf,5,0.2876832659820767,0.0022810082219718144,188.93920591659844,48.69420043560356,0.0781408191440405,0.0016073860282165677,0.07224942146357842,0.006576273703203002
YaleB,b10_k1,10,1,standard_nmf,5,0.47370565691160127,0.002735692311445582,79.39951210820581,19.189096633808482,0.12360791532443627,0.011461492228436846,0.14117697172954075,0.017565073222789454
YaleB,b10_k1,10,1,robust_l1_nmf,5,0.29168611349276635,0.0022889682164055278,160.85061360001563,9.860791590787533,0.07998159226875287,0.0012348281514034758,0.07624339422534271,0.006463472071697301
YaleB,b10_k2,10,2,standard_nmf,5,0.6482791041383427,0.0010319832414574695,69.05253950821934,4.5518378842945415,0.09884951679705475,0.0024000745164114664,0.09812974006062666,0.006652984274641586
YaleB,b10_k2,10,2,robust_l1_nmf,5,0.2922339868278013,0.00078462052775241,180.84931504139678,50.26810254172808,0.08099401748734468,0.0032377467279038835,0.0721264388716191,0.004348703090470652
YaleB,b10_k3,10,3,standard_nmf,5,0.7841308377927654,0.0031656390836875044,82.61012677479303,29.676967130831354,0.09240681086056143,0.003937275588809471,0.0934723148602172,0.011077797734258222
YaleB,b10_k3,10,3,robust_l1_nmf,5,0.30849710203433245,0.001984198256476256,182.25124423340895,61.77194682862967,0.08421537045559135,0.002083613699525408,0.08690654524068508,0.006276433550078111
YaleB,b15_k1,15,1,standard_nmf,5,0.7054834719802249,0.0018025676374411135,67.05325168338604,11.040706136671306,0.09231477220432582,0.001512349445481362,0.08786294243579955,0.006611353513144546
YaleB,b15_k1,15,1,robust_l1_nmf,5,0.4109928321003332,0.03365782167442425,152.81870353341802,28.597001465818117,0.08384721583064889,0.0019085541972690002,0.08126338533501445,0.007842899468341468
YaleB,b20_k1,20,1,standard_nmf,5,0.9453858487431557,0.003247922367053823,68.74270481660497,15.637830381743159,0.08568798895536124,0.002400074516411464,0.08043952010046482,0.0035689540843048743
YaleB,b20_k1,20,1,robust_l1_nmf,5,0.9714682123057067,0.002542776357596459,150.79325856678187,6.378100723540293,0.0849516797054763,0.0029574356213639434,0.08125475733760665,0.005670261593041252
